Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot
21,Female,Electrical,0,7,0,No,No
21,Male,Mechanical,0,8,0,No,Yes
21,Male,Computer Science,2,8,0,No,Yes
21,Male,Information Technology,1,7,0,No,No
22,Male,Information Technology,0,6,0,Yes,No
22,Male,Information Technology,1,8,0,No,Yes
21,Male,Electrical,1,7,0,No,Yes
21,Female,Civil,1,6,0,No,No
21,Male,Computer Science,3,6,0,No,Yes
21,Male,Civil,1,7,1,No,No
22,Male,Electrical,1,7,0,No,No
21,Male,Electronics And Communication,2,6,1,Yes,No
22,Male,Electrical,1,8,0,Yes,Yes
22,Male,Computer Science,2,8,0,No,Yes
21,Male,Mechanical,1,6,1,Yes,No
22,Male,Computer Science,0,7,0,No,No
22,Male,Civil,0,6,0,No,No
21,Male,Civil,0,6,1,No,No
21,Female,Computer Science,1,7,1,No,No
21,Male,Computer Science,2,7,0,No,Yes
21,Female,Mechanical,1,6,1,No,No
22,Male,Mechanical,0,6,1,No,No
22,Male,Electronics And Communication,1,8,0,No,Yes
22,Male,Computer Science,1,8,0,No,Yes
21,Female,Information Technology,0,8,0,No,Yes
22,Male,Information Technology,1,7,0,No,No
21,Male,Information Technology,0,8,0,Yes,Yes
22,Male,Computer Science,1,8,0,No,Yes
22,Male,Computer Science,1,7,0,No,No
21,Female,Information Technology,2,7,0,No,Yes
21,Female,Mechanical,1,8,1,No,Yes
21,Female,Computer Science,1,6,1,No,No
22,Female,Information Technology,1,7,0,No,No
22,Female,Computer Science,0,6,1,No,No
21,Male,Information Technology,2,8,1,No,Yes
22,Male,Civil,0,7,1,Yes,No
21,Male,Electrical,1,6,0,No,No
21,Male,Electronics And Communication,2,6,0,No,Yes
21,Male,Mechanical,1,7,1,No,No
22,Male,Civil,0,7,0,No,No
22,Female,Electrical,1,6,0,No,No
22,Male,Computer Science,0,8,0,No,Yes
21,Male,Computer Science,3,8,0,No,Yes
21,Female,Information Technology,0,8,0,Yes,Yes
22,Male,Electronics And Communication,0,6,0,No,No
22,Male,Civil,1,7,0,No,No
22,Male,Information Technology,1,8,1,Yes,Yes
22,Female,Computer Science,1,8,1,Yes,Yes
22,Male,Mechanical,1,8,1,No,Yes
21,Male,Electrical,2,6,0,No,Yes
22,Male,Electronics And Communication,1,6,0,No,No
22,Male,Information Technology,0,8,0,No,Yes
22,Female,Computer Science,1,7,1,No,No
21,Male,Information Technology,1,8,0,No,Yes
21,Male,Electrical,1,7,0,No,Yes
22,Male,Mechanical,0,8,1,Yes,Yes
21,Male,Civil,0,6,0,No,No
21,Male,Information Technology,1,6,0,No,No
21,Female,Information Technology,1,8,0,No,Yes
22,Male,Electronics And Communication,1,8,1,Yes,Yes
21,Male,Civil,1,7,0,No,No
22,Male,Information Technology,2,6,0,No,Yes
21,Male,Electrical,0,6,1,No,No
22,Male,Information Technology,1,7,1,Yes,No
21,Male,Electronics And Communication,0,6,0,No,No
22,Male,Computer Science,0,8,0,Yes,Yes
21,Male,Electronics And Communication,1,7,0,No,No
22,Male,Mechanical,0,6,1,No,No
21,Male,Civil,0,7,0,No,No
21,Female,Civil,1,7,1,No,No
21,Male,Computer Science,1,7,0,No,No
21,Male,Information Technology,0,6,0,Yes,Yes
21,Female,Electronics And Communication,2,7,0,No,Yes
22,Female,Mechanical,1,8,1,No,Yes
21,Male,Mechanical,0,6,1,Yes,Yes
21,Male,Civil,0,7,1,No,Yes
22,Male,Electronics And Communication,0,8,0,No,Yes
21,Male,Electronics And Communication,1,6,1,Yes,Yes
21,Male,Mechanical,2,6,1,No,No
22,Male,Computer Science,0,8,0,No,Yes
21,Male,Civil,0,7,0,No,No
22,Male,Information Technology,0,7,0,No,No
22,Male,Computer Science,0,7,0,No,No
22,Male,Civil,1,6,1,No,No
22,Female,Computer Science,2,6,1,Yes,No
22,Male,Electronics And Communication,0,7,0,No,Yes
21,Male,Civil,0,8,0,No,Yes
21,Male,Civil,0,8,0,No,Yes
22,Male,Computer Science,2,6,0,No,Yes
22,Male,Computer Science,2,7,0,No,Yes
22,Male,Electronics And Communication,1,7,1,Yes,Yes
21,Male,Information Technology,2,7,0,No,Yes
22,Male,Civil,0,6,0,No,No
22,Male,Civil,1,6,0,No,Yes
21,Male,Electronics And Communication,0,7,0,No,No
21,Male,Information Technology,0,7,0,No,Yes
22,Male,Electronics And Communication,1,8,0,No,Yes
22,Male,Computer Science,0,6,0,Yes,No
22,Male,Electrical,2,8,0,Yes,Yes
22,Male,Information Technology,0,6,0,Yes,Yes
22,Female,Computer Science,1,6,1,No,Yes
21,Male,Electrical,0,8,0,No,Yes
21,Male,Computer Science,1,7,0,No,Yes
22,Male,Information Technology,2,7,0,Yes,Yes
22,Female,Computer Science,1,8,1,No,Yes
22,Male,Civil,0,6,0,No,Yes
22,Male,Mechanical,0,6,1,No,Yes
22,Male,Civil,0,7,0,No,No
22,Female,Information Technology,0,6,0,No,Yes
22,Male,Electrical,1,8,0,No,Yes
21,Female,Computer Science,0,6,1,No,No
21,Male,Computer Science,1,6,0,No,Yes
21,Male,Computer Science,0,8,0,No,Yes
21,Male,Mechanical,0,7,0,Yes,Yes
21,Male,Computer Science,2,8,0,No,Yes
22,Male,Civil,0,8,1,No,Yes
21,Male,Mechanical,1,6,1,No,No
22,Male,Computer Science,0,8,0,No,Yes
21,Male,Computer Science,1,8,0,No,Yes
21,Male,Electronics And Communication,0,6,0,No,No
22,Male,Electronics And Communication,1,6,1,Yes,No
22,Male,Information Technology,0,8,0,No,Yes
21,Male,Computer Science,1,6,0,No,No
22,Female,Electrical,0,6,0,No,Yes
22,Male,Electronics And Communication,0,7,0,No,No
21,Male,Information Technology,0,8,0,No,Yes
22,Male,Mechanical,0,8,1,Yes,Yes
22,Male,Mechanical,0,7,1,Yes,No
21,Male,Electronics And Communication,0,8,0,No,Yes
21,Male,Information Technology,1,6,0,No,No
22,Female,Computer Science,2,7,1,No,Yes
22,Male,Electronics And Communication,0,7,0,No,No
21,Male,Electronics And Communication,1,7,0,Yes,Yes
22,Male,Information Technology,0,8,0,No,Yes
21,Male,Information Technology,0,8,0,No,Yes
22,Female,Electrical,1,8,0,Yes,Yes
22,Male,Information Technology,1,6,0,No,Yes
22,Male,Mechanical,0,8,1,Yes,Yes
21,Male,Mechanical,0,6,1,No,Yes
21,Male,Electronics And Communication,1,8,0,No,Yes
21,Male,Civil,0,7,0,No,No
22,Female,Computer Science,1,8,1,No,Yes
22,Female,Information Technology,1,7,0,No,Yes
21,Male,Mechanical,1,6,1,No,No
21,Male,Mechanical,0,7,1,No,Yes
21,Male,Electronics And Communication,0,8,0,No,Yes
22,Male,Computer Science,0,6,0,No,Yes
22,Male,Electrical,0,6,0,Yes,No
21,Male,Information Technology,2,8,0,No,Yes
22,Male,Electrical,0,8,0,No,Yes
21,Male,Electronics And Communication,1,7,0,No,No
22,Male,Mechanical,0,7,1,No,Yes
22,Male,Electronics And Communication,0,7,0,No,No
21,Male,Computer Science,1,8,0,No,Yes
22,Male,Electronics And Communication,0,8,0,No,Yes
21,Male,Computer Science,0,8,0,Yes,Yes
21,Male,Information Technology,1,7,0,Yes,No
22,Male,Electronics And Communication,0,7,0,No,No
22,Male,Computer Science,1,6,0,No,No
21,Male,Computer Science,0,8,0,Yes,Yes
21,Female,Electrical,0,6,0,No,No
21,Male,Information Technology,0,6,0,No,No
22,Male,Computer Science,2,8,0,No,Yes
21,Female,Computer Science,1,7,1,No,No
22,Male,Information Technology,0,6,0,No,No
22,Male,Information Technology,0,6,0,No,No
22,Male,Civil,1,6,1,No,No
22,Male,Mechanical,0,7,0,No,No
21,Male,Mechanical,0,8,1,No,Yes
21,Female,Information Technology,0,6,0,No,No
21,Male,Mechanical,1,6,1,Yes,No
22,Male,Computer Science,0,7,0,Yes,No
21,Male,Computer Science,0,7,0,No,No
22,Male,Information Technology,0,8,0,No,Yes
21,Male,Computer Science,0,6,0,No,No
21,Male,Information Technology,1,6,1,No,No
22,Female,Electronics And Communication,1,6,0,Yes,No
21,Male,Information Technology,0,6,0,No,No
21,Male,Computer Science,1,8,0,No,Yes
22,Male,Mechanical,1,6,1,No,No
22,Female,Electronics And Communication,0,7,0,No,No
22,Female,Information Technology,0,7,0,Yes,No
22,Male,Civil,0,6,0,No,No
22,Male,Mechanical,0,8,1,No,Yes
21,Male,Electronics And Communication,0,8,0,No,Yes
22,Male,Computer Science,1,6,0,No,No
21,Male,Mechanical,0,6,1,No,No
21,Male,Information Technology,1,8,0,No,Yes
21,Male,Electronics And Communication,1,8,1,Yes,Yes
21,Male,Electronics And Communication,2,8,0,No,Yes
21,Female,Electronics And Communication,2,7,0,No,Yes
21,Male,Information Technology,0,6,0,Yes,No
22,Male,Electrical,0,6,0,No,No
22,Male,Mechanical,1,6,0,No,No
21,Male,Electronics And Communication,1,6,0,Yes,No
21,Female,Information Technology,1,5,1,No,No
21,Female,Computer Science,0,6,1,Yes,No
22,Male,Information Technology,1,5,0,No,No
21,Male,Mechanical,1,5,1,Yes,No
21,Male,Information Technology,2,6,1,No,Yes
21,Male,Computer Science,2,5,0,Yes,No
22,Male,Electrical,0,5,0,No,No
21,Male,Information Technology,0,5,0,Yes,No
22,Male,Electronics And Communication,2,7,0,Yes,No
21,Male,Electrical,0,7,0,Yes,No
21,Male,Electronics And Communication,1,6,1,Yes,No
22,Male,Computer Science,1,6,0,No,No
22,Male,Mechanical,0,6,1,No,No
22,Male,Computer Science,2,6,0,No,Yes
21,Male,Electrical,0,6,0,No,No
22,Male,Civil,0,6,1,No,No
22,Male,Information Technology,0,7,0,No,No
21,Male,Computer Science,0,6,0,Yes,No
22,Male,Electrical,2,6,0,Yes,No
22,Male,Computer Science,1,6,0,No,No
21,Male,Computer Science,1,7,0,No,No
22,Male,Mechanical,0,8,1,No,Yes
21,Male,Electrical,3,7,0,No,Yes
22,Male,Mechanical,0,8,1,Yes,Yes
21,Male,Electrical,0,6,0,No,No
21,Female,Computer Science,0,8,1,No,Yes
21,Male,Computer Science,0,7,0,No,No
21,Female,Electrical,1,6,0,No,No
22,Female,Civil,1,8,0,No,Yes
21,Male,Civil,0,8,0,No,Yes
21,Male,Information Technology,1,6,0,No,No
21,Male,Computer Science,1,6,0,No,No
21,Male,Mechanical,0,6,1,Yes,No
21,Male,Civil,0,7,0,No,No
21,Female,Information Technology,1,8,1,No,Yes
22,Male,Civil,0,8,0,No,Yes
22,Male,Computer Science,0,7,0,Yes,No
21,Male,Electrical,0,6,0,No,No
21,Male,Electrical,1,6,0,Yes,No
22,Male,Electronics And Communication,1,8,0,Yes,Yes
21,Male,Computer Science,0,7,0,Yes,No
21,Male,Computer Science,0,7,0,Yes,No
21,Male,Civil,1,8,0,Yes,Yes
22,Male,Information Technology,0,8,0,No,Yes
21,Male,Electronics And Communication,0,6,0,No,No
28,Male,Civil,0,8,1,No,Yes
21,Male,Computer Science,2,7,0,No,Yes
22,Male,Electronics And Communication,2,6,0,No,Yes
21,Male,Information Technology,1,8,1,No,Yes
22,Male,Mechanical,0,6,1,No,Yes
21,Male,Mechanical,0,8,1,No,Yes
21,Male,Information Technology,1,6,0,No,No
22,Female,Mechanical,1,7,1,No,No
22,Male,Electronics And Communication,0,8,0,No,Yes
21,Male,Electrical,0,6,0,No,No
21,Male,Mechanical,0,6,1,No,Yes
22,Male,Mechanical,0,7,1,No,No
22,Male,Electronics And Communication,1,6,1,Yes,No
22,Male,Computer Science,0,7,0,Yes,Yes
21,Male,Computer Science,0,7,0,No,Yes
22,Male,Computer Science,0,8,0,Yes,Yes
22,Male,Information Technology,1,6,1,No,No
21,Male,Electronics And Communication,0,6,0,No,No
22,Male,Computer Science,0,6,0,No,Yes
21,Male,Civil,0,6,0,No,Yes
22,Female,Information Technology,1,8,0,No,Yes
21,Male,Information Technology,1,8,0,No,Yes
21,Male,Mechanical,0,8,1,No,Yes
22,Male,Civil,0,6,0,No,No
22,Male,Electrical,0,7,0,Yes,No
21,Male,Information Technology,1,6,0,Yes,Yes
21,Male,Mechanical,1,6,1,No,No
22,Male,Mechanical,0,6,1,Yes,Yes
22,Female,Information Technology,0,7,0,No,Yes
22,Male,Information Technology,2,7,0,No,No
21,Male,Computer Science,3,8,0,No,Yes
22,Male,Computer Science,0,6,0,No,Yes
21,Male,Computer Science,0,8,0,Yes,Yes
21,Female,Information Technology,1,8,0,Yes,Yes
21,Female,Computer Science,0,8,1,Yes,Yes
22,Male,Information Technology,1,6,0,No,Yes
21,Male,Electronics And Communication,0,8,0,Yes,Yes
22,Female,Mechanical,1,7,1,No,No
21,Male,Information Technology,1,8,1,No,Yes
22,Male,Electrical,0,6,0,No,No
22,Male,Mechanical,0,7,1,No,No
22,Male,Civil,0,6,1,No,No
22,Male,Information Technology,0,6,0,Yes,Yes
22,Male,Electronics And Communication,1,7,0,No,No
21,Male,Information Technology,1,8,0,No,Yes
22,Male,Electrical,1,7,0,No,No
22,Male,Mechanical,0,6,1,No,Yes
21,Male,Civil,2,6,1,No,Yes
22,Male,Electronics And Communication,0,6,0,No,Yes
21,Male,Computer Science,0,7,0,No,Yes
22,Male,Mechanical,0,7,1,Yes,No
22,Male,Mechanical,2,7,1,No,Yes
22,Male,Mechanical,0,7,1,No,Yes
21,Male,Computer Science,0,7,0,No,No
22,Male,Computer Science,1,7,0,No,Yes
21,Male,Electrical,0,6,0,No,Yes
22,Male,Civil,0,6,0,No,No
21,Male,Information Technology,3,8,1,No,Yes
22,Female,Electronics And Communication,3,8,1,Yes,Yes
21,Male,Information Technology,0,7,0,Yes,Yes
21,Male,Computer Science,1,8,0,No,Yes
21,Male,Information Technology,0,7,0,No,No
21,Male,Mechanical,2,6,1,No,Yes
22,Male,Mechanical,0,8,1,No,Yes
21,Female,Computer Science,1,8,1,No,Yes
22,Male,Electrical,0,8,0,Yes,Yes
21,Male,Civil,1,8,0,No,Yes
22,Female,Computer Science,1,7,1,No,No
21,Male,Electrical,0,7,0,No,No
21,Female,Information Technology,0,7,0,No,No
21,Female,Computer Science,1,8,1,No,Yes
21,Male,Computer Science,1,8,0,No,Yes
21,Male,Electronics And Communication,1,6,0,No,No
22,Male,Mechanical,0,8,1,No,Yes
22,Male,Electronics And Communication,1,8,0,No,Yes
21,Male,Computer Science,1,6,0,No,No
21,Male,Civil,0,7,0,No,No
22,Male,Electronics And Communication,1,7,0,Yes,No
22,Male,Electrical,1,7,0,No,No
22,Male,Electrical,0,8,0,No,Yes
21,Male,Information Technology,1,8,0,No,Yes
22,Male,Mechanical,2,7,1,No,No
21,Male,Civil,0,6,1,Yes,No
22,Male,Mechanical,1,6,1,No,No
22,Male,Electronics And Communication,1,7,0,No,No
22,Male,Mechanical,1,7,1,No,No
22,Female,Mechanical,1,8,0,No,Yes
21,Male,Computer Science,0,7,0,Yes,No
21,Male,Electronics And Communication,0,8,0,No,Yes
21,Male,Mechanical,1,7,0,No,No
22,Male,Information Technology,0,7,0,No,No
21,Male,Computer Science,2,7,0,No,Yes
22,Male,Civil,1,8,0,No,Yes
22,Male,Electronics And Communication,0,8,0,No,Yes
22,Male,Mechanical,0,7,1,No,No
22,Male,Information Technology,1,7,0,No,No
22,Male,Computer Science,1,6,0,No,No
21,Male,Computer Science,1,6,0,No,No
22,Female,Civil,1,6,0,No,No
21,Female,Civil,1,8,0,No,Yes
22,Female,Computer Science,1,7,1,No,No
21,Male,Mechanical,1,8,1,No,Yes
30,Male,Computer Science,1,8,0,No,Yes
22,Male,Information Technology,0,8,0,Yes,Yes
21,Male,Information Technology,1,7,0,Yes,No
22,Female,Electronics And Communication,0,7,0,No,No
22,Male,Information Technology,1,8,1,No,Yes
22,Male,Civil,1,7,0,No,No
22,Male,Electrical,1,6,1,Yes,No
21,Female,Civil,1,7,0,Yes,No
21,Male,Computer Science,0,6,0,No,No
22,Male,Electrical,1,7,0,No,No
21,Male,Information Technology,0,8,0,Yes,Yes
21,Male,Computer Science,1,7,0,No,No
22,Male,Electrical,1,7,0,Yes,No
22,Male,Electrical,0,8,0,No,Yes
22,Male,Electrical,1,7,0,No,No
21,Male,Computer Science,1,7,0,No,No
21,Male,Computer Science,2,7,0,No,Yes
21,Male,Computer Science,0,7,0,No,No
22,Male,Electrical,0,7,0,Yes,No
22,Male,Computer Science,2,6,0,No,Yes
22,Male,Electronics And Communication,0,8,0,No,Yes
21,Male,Electrical,0,7,0,No,No
22,Male,Information Technology,1,6,0,No,No
21,Male,Computer Science,0,7,0,No,No
22,Female,Information Technology,0,8,0,No,Yes
22,Male,Electronics And Communication,1,7,0,No,No
21,Male,Information Technology,0,6,0,No,No
21,Male,Civil,0,7,1,No,No
22,Male,Electrical,1,8,0,No,Yes
22,Male,Computer Science,0,6,0,No,No
21,Male,Information Technology,0,7,0,No,No
21,Male,Civil,1,8,0,No,Yes
21,Male,Computer Science,1,7,0,No,No
22,Male,Civil,0,7,1,No,No
21,Male,Computer Science,2,7,0,Yes,No
22,Female,Electronics And Communication,0,8,0,No,Yes
21,Male,Computer Science,1,7,0,No,No
22,Male,Computer Science,1,6,0,No,No
21,Male,Computer Science,0,7,0,Yes,No
21,Male,Electronics And Communication,1,7,0,No,Yes
21,Male,Information Technology,1,8,0,Yes,Yes
21,Male,Electronics And Communication,0,7,0,No,Yes
22,Male,Information Technology,2,6,0,No,Yes
22,Male,Computer Science,1,6,0,No,No
21,Male,Electronics And Communication,0,7,0,No,Yes
22,Male,Computer Science,1,6,0,No,Yes
21,Male,Electronics And Communication,0,8,0,No,Yes
22,Female,Information Technology,0,8,0,No,Yes
22,Male,Information Technology,1,7,0,No,No
21,Male,Information Technology,2,6,1,No,Yes
21,Male,Computer Science,2,8,0,No,Yes
22,Female,Information Technology,2,7,1,No,Yes
21,Male,Computer Science,2,7,0,No,Yes
21,Male,Information Technology,2,8,0,No,Yes
21,Male,Computer Science,2,7,0,No,Yes
22,Female,Information Technology,1,7,1,No,Yes
22,Male,Computer Science,2,7,0,No,Yes
21,Male,Electrical,1,8,0,No,Yes
21,Male,Information Technology,2,7,0,Yes,No
22,Male,Computer Science,1,8,0,Yes,Yes
21,Male,Computer Science,1,7,0,No,No
21,Male,Civil,2,6,0,No,No
22,Male,Electrical,1,6,0,No,No
21,Male,Information Technology,1,8,0,Yes,Yes
21,Male,Electronics And Communication,1,7,0,No,No
21,Male,Electrical,1,7,0,Yes,Yes
